5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,EUROPE,NORTH SEA NORTHERN,45.0,241.0,111002.0,OFFSHORE,208.0,7776.0,3539.0,AQUIFER DRIVE,7546.0,JURASSIC/TRIASSIC,312.0,0.8,24.0,36.0,963.0,0.79,336.0,36.0
1P ,ASIA-PACIFIC,GIPPSLAND,49.0,160.0,35000.0,OFFSHORE,214.0,6214.0,2777.0,AQUIFER DRIVE,5956.0,PALEOGENE,106.0,0.65,21.0,45.0,226.0,0.2,1300.0,44.0
1P ,EUROPE,NORTH SEA NORTHERN,173.0,210.0,427359.0,OFFSHORE,204.0,8700.0,5785.0,AQUIFER DRIVE,8242.0,JURASSIC,810.0,0.58,21.0,30.0,4990.0,0.26,1580.0,54.0
1P ,EUROPE,NORTH SEA NORTHERN,22.0,210.0,190000.0,OFFSHORE,207.0,9400.0,6020.0,AQUIFER DRIVE,9000.0,JURASSIC/TRIASSIC,850.0,0.61,23.0,34.0,1610.0,0.23,2170.0,54.84
1P ,NORTH AMERICA,GREATER GREEN RIVER,9.0,320.0,3565.0,ONSHORE,225.0,6550.0,7230.0,GAS DRIVE,6500.0,CRETACEOUS,270.0,0.29,12.8,40.0,63.0,0.52,859.0,21.6
1P ,AFRICA,SIRT,22.0,0.0,190000.0,ONSHORE,293.0,13800.0,6898.0,AQUIFER DRIVE,12750.0,CRETACEOUS,1000.0,0.5,12.5,41.0,3900.0,0.21,2100.0,59.0
2P ,ASIA-PACIFIC,WESTERN,28.0,0.0,12500.0,OFFSHORE,116.0,6000.0,1600.0,AQUIFER DRIVE,3589.24,NEOGENE,2624.67,0.6,30.0,27.0,1000.0,8.5,4.0,24.97
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,40.0,27100.0,ONSHORE,153.4584010255244,6000.0,1600.0,AQUIFER DRIVE,3400.0,NEOGENE/PALEOGENE,170.0,0.6,18.0,30.0,622.0,0.7,300.0,73.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,24.0,85.0,52968.0,OFFSHORE,162.0,12084.5,8550.0,AQUIFER DRIVE,10800.0,NEOGENE,330.0,0.6,32.0,29.0,346.0,0.86,1760.0,41.0
1P ,ASIA-PACIFIC,TARAKAN,22.0,0.0,5000.0,ONSHORE,207.99,5085.3,1385.7,AQUIFER DRIVE,984.25,NEOGENE,8202.1,0.08,25.0,33.24,1000.0,33.0,240.0,33.33
1P ,EUROPE,NORTH SEA CENTRAL,10.0,450.0,202020.0,OFFSHORE,196.28517991317017,6000.0,4628.0,GAS DRIVE,7800.0,JURASSIC,486.0,0.54,24.0,32.6,1200.0,0.7,271.0,46.0
1P ,ASIA-PACIFIC,JUNGGAR,121.0,31.5,10827.0,ONSHORE,172.4,5462.6,3162.0,AQUIFER DRIVE,5360.89,JURASSIC,967.85,0.46,20.0,39.8,92.2,1.55,393.0,55.7
1P ,ASIA-PACIFIC,JUNGGAR,220.0,32.0,15348.0,ONSHORE,170.2,5232.94,3085.0,GAS DRIVE,5112.0,JURASSIC,459.32,0.6,16.0,39.0,175.3,3.35,505.0,31.1
1P ,LATIN AMERICA,LLANOS,178.0,0.0,182875.0,ONSHORE,207.0,7100.0,3213.0,AQUIFER DRIVE,6500.0,PALEOGENE,235.0,0.61,24.0,29.5,1800.0,4.0,8.0,65.0
1P ,EUROPE,NORTH SEA CENTRAL,54.0,90.0,66035.0,OFFSHORE,87.0,2986.0,1340.0,AQUIFER DRIVE,2598.43,CRETACEOUS,78.74,0.95,31.0,20.0,1000.0,88.0,130.0,33.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,350.0,22.0,79000.0,ONSHORE,131.0,2720.0,1143.0,GAS DRIVE,1800.0,NEOGENE,940.0,0.4,32.0,8.5,24200.0,5500.0,90.0,12.0
